Year,Month,Days,Daily Rainfall Totals (mm),Inflow (m3/s)
2022,1,31,0.0,0.5
2022,11,1,0.0,0.4
2022,11,2,0.0,0.2
2022,11,3,0.0,0.4
2022,11,4,0.0,0.1
2022,11,5,4.4,1.8
2022,11,6,12.3,4.5
2022,11,7,0.0,2.2
2022,11,8,0.0,0.1
2022,11,9,0.0,0.6
2022,11,10,0.0,0.1
2022,11,11,27.9,11.7
2022,11,12,0.0,8.2
2022,11,13,0.0,0.0
2022,11,14,0.0,2.0
2022,11,15,0.0,0.0
2022,11,16,0.0,1.0
2022,11,17,0.0,0.0
2022,11,18,6.4,3.2
2022,11,19,12.9,4.3
2022,11,20,0.0,1.7
2022,11,21,0.0,0.3
2022,11,22,2.8,1.4
2022,11,23,13.8,5.3
2022,11,24,0.0,3.1
2022,11,25,0.0,0.0
2022,11,26,0.0,0.6
2022,11,27,0.0,0.0
2022,11,28,0.0,0.3
2022,11,29,0.1,0.1
2022,11,30,0.0,0.2
2022,10,1,25.2,10.4
2022,10,2,0.0,7.5
2022,10,3,0.0,0.0
2022,10,4,23.6,11.5
2022,10,5,34.8,10.7
2022,10,6,0.0,2.7
2022,10,7,4.3,2.4
2022,10,8,0.0,1.2
2022,10,9,0.0,0.1
2022,10,10,0.0,0.2
2022,10,11,7.7,3.1
2022,10,12,0.6,2.3
2022,10,13,0.0,0.0
2022,10,14,0.0,0.5
2022,10,15,8.9,3.4
2022,10,16,0.0,2.8
2022,10,17,0.0,0.0
2022,10,18,0.0,0.7
2022,10,19,9.2,3.5
2022,10,20,0.0,2.8
2022,10,21,0.0,0.0
2022,10,22,0.0,0.7
2022,10,23,0.0,0.1
2022,10,24,35.9,15.1
2022,10,25,0.0,10.5
2022,10,26,0.0,0.1
2022,10,27,0.0,2.6
2022,10,28,0.0,0.0
2022,10,29,8.1,4.7
2022,10,30,45.1,16.9
2022,10,31,23.7,10.9
2022,9,1,0.0,0.1
2022,9,2,34.4,16.5
2022,9,3,7.2,9.1
2022,9,4,0.2,0.1
2022,9,5,40.2,18.6
2022,9,6,31.9,10.5
2022,9,7,18.0,0.1
2022,9,8,18.9,2.4
2022,9,9,0.0,0.0
2022,9,10,0.0,0.8
2022,9,11,0.0,0.2
2022,9,12,0.3,0.5
2022,9,13,16.3,6.6
